Hospital,Hospital Current Display,Metric,Metric Display Projection,Metric Display Current,Entity,Metric Key,Metric Projection Seq,Metric Current Seq,Hospital Seq,Metric Display PD,Entity Display PD,Entity Display Seq,Metric PD Seq,Metric Display Trend,Metric Trend Seq
BHC,BHC,Outpatient Cases,Outpatient Cases,Outpatient Cases,BHC,34,2.5,2.5,3,Outpatient Cases,BHC,1,2.5,Outpatient Cases,2.5
WCMC+CMC,WCMC+CMC,Outpatient Visits,Outpatient Visits,Outpatient Visits,WCMC,35,2.6,2.6,2,Outpatient Visits,WCMC,5,2.6,Outpatient Visits,2.6
WCMC+CMC,WCMC+CMC,Outpatient Visits,Outpatient Visits,Outpatient Visits,CMC,35,2.6,2.6,2,Outpatient Visits,CMC,3,2.6,Outpatient Visits,2.6
BHC,BHC,Outpatient Visits,Outpatient Visits,Outpatient Visits,BHC,35,2.6,2.6,3,Outpatient Visits,BHC,1,2.6,Outpatient Visits,2.6
WCMC+CMC,WCMC+CMC,Admissions,Admissions,Admissions,WCMC,18,0.5,0.5,2,Admissions,CMC/WC,11,0.5,Admissions,0.5
WCMC+CMC,WCMC+CMC,Admissions,Admissions,Admissions,CMC,18,0.5,0.5,2,Admissions,CMC/WC,11,0.5,Admissions,0.5
WCMC+CMC,WCMC+CMC,Admissions - ED,Admissions - ED,Admissions - ED,WCMC,24,0.6,0.6,2,Admissions - ED,CMC/WC,11,0.6,Admissions - ED,0.6
WCMC+CMC,WCMC+CMC,Admissions - ED,Admissions - ED,Admissions - ED,CMC,24,0.6,0.6,2,Admissions - ED,CMC/WC,11,0.6,Admissions - ED,0.6
WCMC+CMC,WCMC+CMC,Admissions - ED%,Admissions - ED%,Admissions - ED%,WCMC,25,0.7,0.7,2,Admissions - ED%,CMC/WC,11,0.7,Admissions - ED%,0.7
WCMC+CMC,WCMC+CMC,Admissions - ED%,Admissions - ED%,Admissions - ED%,CMC,25,0.7,0.7,2,Admissions - ED%,CMC/WC,11,0.7,Admissions - ED%,0.7
WCMC+CMC,WCMC+CMC,Patient Days,Patient Days,Patient Days*,WCMC,3,3,3,2,Patient Days,CMC/WC,11,3,Patient Days,3
WCMC+CMC,WCMC+CMC,Patient Days,Patient Days,Patient Days*,CMC,3,3,3,2,Patient Days,CMC/WC,11,3,Patient Days,3
WCMC+CMC,WCMC+CMC,ED Visits,ED Visits,ED Visits,WCMC,7,8,7,2,ED Visits,CMC/WC,11,8,ED Visits,8
WCMC+CMC,WCMC+CMC,ED Visits,ED Visits,ED Visits,CMC,7,8,7,2,ED Visits,CMC/WC,11,8,ED Visits,8
WCMC+CMC,WCMC+CMC,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,WCMC,8,9,8,2,Surgical Procedures - Inpatient,CMC/WC,11,9,Surgical Procedures - Inpatient,9
WCMC+CMC,WCMC+CMC,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,CMC,8,9,8,2,Surgical Procedures - Inpatient,CMC/WC,11,9,Surgical Procedures - Inpatient,9
WCMC+CMC,WCMC+CMC,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,WCMC,16,9.5,8.5,2,Surgical Procedures - Outpatient,CMC/WC,11,9.5,Surgical Procedures - Outpatient,9.5
WCMC+CMC,WCMC+CMC,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,CMC,16,9.5,8.5,2,Surgical Procedures - Outpatient,CMC/WC,11,9.5,Surgical Procedures - Outpatient,9.5
